"","ds","revenue","tv","paid_search","social","display","competitors","season","trend"
"29",2020-07-19,50854.0852662087,22900.8066048846,38896.3685743511,22247.9651286267,8220.0955315493,1.22133357333951,0.978986558281085,1.28282828282828
"30",2020-07-26,59134.1184093485,34740.4488362372,40029.4395722449,17853.9343015291,5464.76751938462,0.974471707129851,0.964090377616826,1.29292929292929
"31",2020-08-02,62351.701296567,41066.4153285325,46959.5380872488,17873.0753902346,13134.639311349,0.838586960919201,0.945316079023785,1.3030303030303
"32",2020-08-09,44723.8614068877,29541.3429057226,10095.1242726296,18637.8588504158,4978.90421096236,0.740592138841748,0.922739183371855,1.31313131313131
"33",2020-08-16,52571.6353346759,38245.8798075095,16417.196597904,16186.4332517143,12295.3093529213,0.716259677894413,0.896450507731549,1.32323232323232
"34",2020-08-23,57069.7243678591,21052.8994863853,25970.9180518985,7097.12100913748,10408.0731843133,0.74205811903812,0.866555800056266,1.33333333333333
"35",2020-08-30,49320.593926658,79793.1607533246,37012.7830933779,28253.3422939014,7516.3509787526,1.06490467302501,0.833175313804086,1.34343434343434
"36",2020-09-06,49138.7090556026,68263.5987596586,29214.8806527257,5411.20465612039,3235.88748415932,1.2125680889003,0.796443324210207,1.35353535353535
"37",2020-09-13,48635.911663154,25194.83610522,31353.1512301415,15352.3099853192,2045.08015117608,0.608096597949043,0.756507588155842,1.36363636363636
"38",2020-09-20,53212.2640341279,72195.9961811081,22678.0062913895,10674.4023342617,8904.73769651726,1.01907587354071,0.713528749806296,1.37373737373737
"39",2020-09-27,57228.9592831887,53275.1518022269,42590.303607285,7491.01468361914,8815.99250715226,1.35219034459442,0.667679694409086,1.38383838383838
"40",2020-10-04,53610.8036562462,45282.7053098008,21688.7808497995,17073.0968774296,4771.41220984049,1.21463194210082,0.619144852851482,1.39393939393939
"41",2020-10-11,51749.405557521,24058.2091454417,26365.2836531401,21253.2167858444,11320.1170398388,0.813981684856117,0.568119459774951,1.4040404040404
"42",2020-10-18,48666.9663672751,53686.277391389,13636.7323063314,28033.244459657,14497.466490604,0.615817142417654,0.514808768230771,1.41414141414141
"43",2020-10-25,52680.1266968425,24243.3136561885,41943.8655208796,14065.0451777037,8737.46579512954,1.07500406750478,0.459427224035923,1.42424242424242
"44",2020-11-01,47417.2350477927,32683.516331017,24391.4099875838,26378.3747516572,4268.86428985745,1.33137192204595,0.402197603150477,1.43434343434343
"45",2020-11-08,48757.0530944256,52977.224807255,11619.503069669,12522.6537883282,9313.02175344899,1.02033975790255,0.343350115546407,1.44444444444444
"46",2020-11-15,55631.976910774,48918.8869018108,11643.4535942972,16641.5606287774,11870.3562058508,1.19401102862321,0.283121479172612,1.45454545454545
"47",2020-11-22,52422.3021986684,29568.1912731379,48177.3695349693,8568.26662318781,10670.6273877062,0.999903989490122,0.221753967741151,1.46464646464646
"48",2020-11-29,51363.0248737653,28974.7397042811,24933.6497951299,25192.9748407565,4923.34800190292,0.854160398710519,0.159494436165063,1.47474747474747
"49",2020-12-06,48970.2900197692,49956.3728226349,42256.7867022008,21645.1907949522,6496.04691169225,1.46480415901169,0.0965933275679896,1.48484848484848
"50",2020-12-13,54953.7878983661,76433.892683126,46402.3603592068,6548.52449777536,6157.81287872232,1.42226125416346,0.0333036658599838,1.4949494949495
"51",2020-12-20,56853.2529708201,40053.8795953616,27603.0485145748,15773.1392083224,13763.6791691184,0.704592706635594,-0.0301199620680614,1.50505050505051
"52",2020-12-27,45830.3350575719,31306.0597749427,33053.4601211548,14921.3770357892,4589.57894146442,1.45490293274634,-0.0934224304371869,1.51515151515152
"53",2021-01-03,50411.0647689263,36182.9706979915,12946.7118065804,22423.9187850617,10852.5192155503,1.37399283237755,-0.156349100840852,1.52525252525253
"54",2021-01-10,50420.2621339261,51844.6446862072,16585.095776245,21482.9912653659,3787.73086238652,1.19734483142383,-0.218646846544927,1.53535353535354
"55",2021-01-17,47284.766046465,21287.0137114078,39595.6310350448,15183.767741546,3390.93092945404,1.01259378483519,-0.280065070706889,1.54545454545455
"56",2021-01-24,45241.9162839548,67925.618449226,29028.4405089915,12673.0055094231,3207.1721451357,0.980816515395418,-0.340356714418356,1.55555555555556
"57",2021-01-31,50164.7165100105,26620.1060125604,37420.838130638,11377.6836264879,13913.8364174869,0.701800923096016,-0.399279250516043,1.56565656565657
"58",2021-02-07,53548.3312053328,52387.8971487284,48060.5977121741,21814.2038339283,5601.78566607647,0.600229354342446,-0.456595659163475,1.57575757575758
"59",2021-02-14,57609.8150369262,54274.0338481963,29898.5795024782,27359.8358395975,13515.3204048984,0.972588874632493,-0.512075381279107,1.58585858585859
"60",2021-02-21,40681.1137233367,57137.0928175747,28820.0250640512,26143.4039054438,12047.2404439934,0.812179648084566,-0.56549524597563,1.5959595959596
"61",2021-02-28,46725.6306570882,62891.2216098979,32407.6780024916,14822.5464229472,12335.6660702266,1.27239930513315,-0.616640368279763,1.60606060606061
"62",2021-03-07,48612.9224573456,27398.0347206816,36100.4048213363,6976.26349981874,4673.75671025366,1.40107400133274,-0.665305013521416,1.61616161616162
"63",2021-03-14,41850.8001971898,38662.9771254957,21182.9399503767,25710.576424608,2626.51319848374,0.835229284130037,-0.711293424915134,1.62626262626263
"64",2021-03-21,46555.2326969148,76744.3497572094,49196.3035799563,6822.29562196881,2504.60710539483,1.32394424639642,-0.754420611004844,1.63636363636364
"65",2021-03-28,46328.3769750809,50001.5055434778,35754.5643206686,7869.06693945639,5699.46368806995,0.72003285982646,-0.794513089804337,1.64646464646465
"66",2021-04-04,46564.2881796375,28113.8299452141,33303.1374309212,20999.6067523025,6534.52782216482,1.2661237383727,-0.831409586640149,1.65656565656566
"67",2021-04-11,39317.0566208475,72155.4692322388,34634.8410379142,13014.1550046392,11586.8932304438,1.06070785108022,-0.8649616828897,1.66666666666667
"68",2021-04-18,51282.4342783756,32302.976725623,47005.6117791682,9718.73815404251,5271.62655605935,0.923455537762493,-0.895034413005116,1.67676767676768
"69",2021-04-25,47083.0393141068,75502.7534579858,25600.9158119559,14845.7410291303,8726.68104013428,1.33856978826225,-0.921506807421163,1.68686868686869
"70",2021-05-02,57839.9674135495,73205.2158936858,21516.7874004692,26550.6503998768,11872.781394748,0.787320587551221,-0.944272379163397,1.6969696969697
"71",2021-05-09,54090.7213470333,28177.7495145798,13629.4385883957,13697.7851635311,10269.0988632385,0.970720700686797,-0.963239552199133,1.70707070707071
"72",2021-05-16,42940.2740233398,67120.9665294737,22881.3561610878,5035.84746154957,4651.2289098464,1.28084453335032,-0.978332029808149,1.71717171717172
"73",2021-05-23,50735.1480395792,47198.2048498467,40330.8045025915,27782.1113425307,14909.5886670984,0.582716837292537,-0.989489101491343,1.72727272727273
"74",2021-05-30,47158.7568069399,28144.5451639593,14176.5171848238,28793.0862233043,2005.26556372643,0.894517550244927,-0.996665887182768,1.73737373737374
"75",2021-06-06,54720.138684482,73113.2622109726,38411.1141040921,17272.9745751712,4685.41032588109,0.595661407336593,-0.999833517782692,1.74747474747475
"76",2021-06-13,50508.3262812275,40202.8124080971,48659.095345065,16591.2928828038,10242.3651781864,0.63333323597908,-0.998979251285483,1.75757575757576
"77",2021-06-20,47367.2855129091,39156.4469086006,18059.6490483731,19911.8011700921,2224.793728441,0.721126178046688,-0.994106524035177,1.76767676767677
"78",2021-06-27,52351.1090311026,44226.9688844681,14339.5461793989,27651.2739318423,2347.56112727337,0.774119541049004,-0.985234936902553,1.77777777777778
"79",2021-07-04,50906.5033609862,48744.6384225041,12216.0871513188,9325.02947514877,9901.92773588933,0.799059249693528,-0.972400176439324,1.78787878787879
"80",2021-07-11,49415.2741584066,42074.1092134267,43188.940603286,24647.0269176643,9417.03758551739,0.874786772532389,-0.955653871326596,1.7979797979798
"81",2021-07-18,60305.903065899,47941.4340574294,33247.9102630168,10823.3596151695,5196.09352317639,0.991452492540702,-0.935063384695052,1.80808080808081
"82",2021-07-25,47504.8949170222,22993.5291735455,28803.695011884,19426.2052257545,13953.8261233829,1.37860262347385,-0.910711543152263,1.81818181818182
"83",2021-08-01,47808.3715607048,31241.4026958868,24600.5648002028,26021.9258326106,10738.8106216677,1.24872982874513,-0.882696303607122,1.82828282828283
"84",2021-08-08,42500.1545592536,78959.564822726,21204.9850914627,8305.09442137554,10390.8557109535,1.45518602314405,-0.851130359231641,1.83838383838384
"85",2021-08-15,50006.1224542106,39696.4441752061,33988.634198904,27397.2797393799,4707.7109105885,0.831920213066041,-0.816140686145137,1.84848484848485
"86",2021-08-22,54656.782881295,30259.7834309563,42742.7845168859,16253.4335290547,8248.03056498058,1.32416279637255,-0.777868032644316,1.85858585858586
"87",2021-08-29,39810.7447697936,49295.2936701477,13913.2912177593,27353.5634460859,14824.7415823862,0.63266538339667,-0.736466353033845,1.86868686868687
"88",2021-09-05,48948.773261679,21121.2447006255,48547.5810430944,11213.6295135133,14910.5580204632,0.624696853803471,-0.692102188334885,1.87878787878788
"89",2021-09-12,44229.8268323258,40369.1050224006,16749.4577355683,7092.38234092481,7860.06247554906,1.22810971178114,-0.644953996362709,1.88888888888889
"90",2021-09-19,57299.7919657271,21779.8025347292,13443.3362353593,6216.02686704136,11293.0342196487,1.04842082853429,-0.595211433868221,1.8989898989899
"91",2021-09-26,57096.3858141215,72033.7197836488,44448.4278280288,29495.3966757748,6115.30096293427,1.10851741279475,-0.543074593631009,1.90909090909091
"92",2021-10-03,51910.3982144419,63902.4559827521,30991.6240815073,17104.1935286485,12837.9382882267,0.62294670054689,-0.488753199572783,1.91919191919192
"93",2021-10-10,57359.4738285004,38915.6478084624,36272.4350113422,26134.8258482758,7641.68256008998,1.37643469893374,-0.432465763128886,1.92929292929293
"94",2021-10-17,45822.7348918701,43187.2407067567,19180.7749122381,15407.3401133064,14947.8993564844,1.34234881564043,-0.374438704271454,1.93939393939394
"95",2021-10-24,54966.9328310646,39946.7594316229,38849.0412570536,17233.5635707714,12475.5457732826,0.546237813541666,-0.314905440719961,1.94949494949495
"96",2021-10-31,47224.1880562094,25386.678269133,29630.0157997757,9582.19543797895,8321.14817644469,1.20701832859777,-0.254105449002853,1.95959595959596
"97",2021-11-07,51905.4439927239,65423.3361501247,48610.2236993611,23979.0366974194,9004.03601210564,1.03479105513543,-0.192283301147213,1.96969696969697
"98",2021-11-14,48766.8378165603,56178.109832108,46277.6992190629,12628.5825634841,6433.5188085679,1.44545723404735,-0.129687680871458,1.97979797979798
"99",2021-11-21,48770.0245997615,28723.9983538166,32050.0211138278,9141.95617777295,2676.20285786688,1.41202997905202,-0.0665703832384705,1.98989898989899
"100",2021-11-28,52819.3700101776,21951.0490074754,13023.9639803767,5820.22857386619,7963.40047125705,0.955978516489267,-0.00318530179313799,2
